Athletes_Name,NOC,Game_Discipline,Rank,Gold,Silver,Bronze,Total_Medal,Rank by Total,Female,Male,Ratio,Total_Participants,Country_Name,Couch_Name,START (PDT),END (PDT)
HRISTOV Hristo Dimitrov,Bulgaria,Weightlifting,30.0,3.0,1.0,2.0,6.0,39.0,98,99,1.010204081632653,197,,,2021-07-30 01:00:00,2021-07-30 03:40:00
HRISTOVA Mimi Nikolova,Bulgaria,Wrestling,30.0,3.0,1.0,2.0,6.0,39.0,96,193,2.0104166666666665,289,,,2021-07-30 01:20:00,2021-07-30 03:20:00
HROCHOVA Tereza,Czech Republic,Athletics,18.0,4.0,4.0,3.0,11.0,23.0,969,1072,1.106295149638803,2041,Czech Republic,,2021-07-30 01:30:00,2021-07-30 04:10:00
HROVAT Gregor,Slovenia,Basketball,31.0,3.0,1.0,1.0,5.0,42.0,144,144,1.0,288,Slovenia,SEKULIC Aleksander,2021-07-30 02:00:00,2021-07-30 05:00:00
HRUSHYNA Alina,Ukraine,Wrestling,44.0,1.0,6.0,12.0,19.0,16.0,96,193,2.0104166666666665,289,,,2021-07-30 02:20:00,2021-07-30 05:10:00
HRYSANTHOS Anthony,Australia,Water Polo,6.0,17.0,7.0,22.0,46.0,6.0,122,146,1.1967213114754098,268,Australia,MIHAILOVIC Predrag,2021-07-30 02:30:00,2021-07-30 04:40:00
HSIEH Hsi-En,Chinese Taipei,Athletics,34.0,2.0,4.0,6.0,12.0,22.0,969,1072,1.106295149638803,2041,,,2021-07-30 02:30:00,2021-07-30 06:15:00
HSIEH Kaylin Sin Yan,"Hong Kong, China",Fencing,49.0,1.0,2.0,3.0,6.0,39.0,107,108,1.0093457943925233,215,"Hong Kong, China",,2021-07-30 03:00:00,2021-07-30 05:00:00
HSIEH Yu-Chieh,Chinese Taipei,Tennis,34.0,2.0,4.0,6.0,12.0,22.0,94,97,1.0319148936170213,191,,,2021-07-30 03:00:00,2021-07-30 06:00:00
HSIEH Yun-Ting,Chinese Taipei,Weightlifting,34.0,2.0,4.0,6.0,12.0,22.0,98,99,1.010204081632653,197,,,2021-07-30 03:00:00,2021-07-30 06:00:00
HSU Chieh-Yu,Chinese Taipei,Tennis,34.0,2.0,4.0,6.0,12.0,22.0,94,97,1.0319148936170213,191,,,2021-07-30 03:00:00,2021-07-30 06:45:00
HSU Wei-Ling,Chinese Taipei,Golf,34.0,2.0,4.0,6.0,12.0,22.0,60,60,1.0,120,,,2021-07-30 03:00:00,2021-07-30 05:30:00
HU Heming,Australia,Table Tennis,6.0,17.0,7.0,22.0,46.0,6.0,86,86,1.0,172,Australia,,2021-07-30 03:30:00,2021-07-30 07:00:00
HU Heming,Australia,Table Tennis,6.0,17.0,7.0,22.0,46.0,6.0,86,86,1.0,172,HU Heming / TAPPER Melissa,,2021-07-30 03:40:00,2021-07-30 07:30:00
HU Jianguan,People's Republic of China,Boxing,2.0,38.0,32.0,18.0,88.0,2.0,102,187,1.8333333333333333,289,,,2021-07-30 04:00:00,2021-07-30 06:50:00
HU Jinqiu,People's Republic of China,3x3 Basketball,2.0,38.0,32.0,18.0,88.0,2.0,32,32,1.0,64,China,,2021-07-30 04:00:00,2021-07-30 07:00:00
HUA TIAN Alex,People's Republic of China,Equestrian,2.0,38.0,32.0,18.0,88.0,2.0,73,125,1.7123287671232876,198,,,2021-07-30 04:00:00,2021-07-30 06:10:00
HUANG Bokai,People's Republic of China,Athletics,2.0,38.0,32.0,18.0,88.0,2.0,969,1072,1.106295149638803,2041,China,,2021-07-30 05:00:00,2021-07-30 07:00:00
HUANG Changzhou,People's Republic of China,Athletics,2.0,38.0,32.0,18.0,88.0,2.0,969,1072,1.106295149638803,2041,China,,2021-07-30 15:30:00,2021-07-30 23:30:00
HUANG Dong Ping,People's Republic of China,Badminton,2.0,38.0,32.0,18.0,88.0,2.0,86,87,1.0116279069767442,173,,,2021-07-30 15:30:00,2021-07-30 17:25:00
HUANG Guifen,People's Republic of China,Athletics,2.0,38.0,32.0,18.0,88.0,2.0,969,1072,1.106295149638803,2041,China,,2021-07-30 16:30:00,2021-07-30 19:00:00
HUANG Hsiao-Wen,Chinese Taipei,Boxing,34.0,2.0,4.0,6.0,12.0,22.0,102,187,1.8333333333333333,289,,,2021-07-30 17:00:00,2021-07-30 20:00:00
HUANG Jieyi,People's Republic of China,Canoe Sprint,2.0,38.0,32.0,18.0,88.0,2.0,123,126,1.024390243902439,249,,,2021-07-30 17:00:00,2021-07-31 00:00:00
HUANG Kaifeng,People's Republic of China,Rowing,2.0,38.0,32.0,18.0,88.0,2.0,257,265,1.0311284046692606,522,,,2021-07-30 17:00:00,2021-07-30 19:50:00
HUANG Mei-Chien,Chinese Taipei,Swimming,34.0,2.0,4.0,6.0,12.0,22.0,361,418,1.1578947368421053,779,,,2021-07-30 17:00:00,2021-07-30 20:30:00
HUANG Mengkai,People's Republic of China,Fencing,2.0,38.0,32.0,18.0,88.0,2.0,107,108,1.0093457943925233,215,China,,2021-07-30 17:00:00,2021-07-30 20:00:00
HUANG Shih-Feng,Chinese Taipei,Athletics,34.0,2.0,4.0,6.0,12.0,22.0,969,1072,1.106295149638803,2041,,,2021-07-30 17:00:00,2021-07-30 22:50:00
HUANG Sijing,People's Republic of China,Basketball,2.0,38.0,32.0,18.0,88.0,2.0,144,144,1.0,288,China,XU Limin,2021-07-30 17:00:00,2021-07-30 20:50:00
HUANG Xuechen,People's Republic of China,Artistic Swimming,2.0,38.0,32.0,18.0,88.0,2.0,105,0,0.0,105,China,ZHANG Xiaohuan,2021-07-30 17:30:00,2021-07-30 19:15:00
HUANG Ya Qiong,People's Republic of China,Badminton,2.0,38.0,32.0,18.0,88.0,2.0,86,87,1.0116279069767442,173,,,2021-07-30 17:30:00,2021-07-30 21:15:00
HUANG Yu-Jen,Chinese Taipei,Taekwondo,34.0,2.0,4.0,6.0,12.0,22.0,65,65,1.0,130,,,2021-07-30 18:00:00,2021-07-30 20:00:00
HUANG Yi-Ting,Chinese Taipei,Rowing,34.0,2.0,4.0,6.0,12.0,22.0,257,265,1.0311284046692606,522,,,2021-07-30 18:00:00,2021-07-30 23:20:00
HUANG Zhangjiayang,People's Republic of China,Rhythmic Gymnastics,2.0,38.0,32.0,18.0,88.0,2.0,96,0,0.0,96,China,,2021-07-30 18:00:00,2021-07-30 21:45:00
HUBBARD Kendra,Australia,Athletics,6.0,17.0,7.0,22.0,46.0,6.0,969,1072,1.106295149638803,2041,Australia,,2021-07-30 18:00:00,2021-07-30 20:50:00
HUBBARD Laurel,New Zealand,Weightlifting,13.0,7.0,6.0,7.0,20.0,13.0,98,99,1.010204081632653,197,,,2021-07-30 18:10:00,2021-07-30 20:20:00
HUBERT Etienne,France,Canoe Sprint,8.0,10.0,12.0,11.0,33.0,10.0,123,126,1.024390243902439,249,,,2021-07-30 18:30:00,2021-07-30 20:20:00
HUC Ciprian,Romania,Rowing,46.0,1.0,3.0,0.0,4.0,47.0,257,265,1.0311284046692606,522,,,2021-07-30 19:00:00,2021-07-30 21:55:00
HUCK Erin,United States of America,Cycling Mountain Bike,1.0,39.0,41.0,33.0,113.0,1.0,38,38,1.0,76,,,2021-07-30 19:00:00,2021-07-30 22:30:00
HUDDLESTON David,Bulgaria,Artistic Gymnastics,30.0,3.0,1.0,2.0,6.0,39.0,98,98,1.0,196,,,2021-07-30 19:50:00,2021-07-30 22:00:00
HUDSON Harriet,Australia,Rowing,6.0,17.0,7.0,22.0,46.0,6.0,257,265,1.0311284046692606,522,,,2021-07-30 20:00:00,2021-07-30 23:00:00
HUDSON Victoria,Austria,Athletics,53.0,1.0,1.0,5.0,7.0,33.0,969,1072,1.106295149638803,2041,,,2021-07-30 20:00:00,2021-07-31 02:00:00
HUDSON-SMITH Matthew,Great Britain,Athletics,4.0,22.0,21.0,22.0,65.0,4.0,969,1072,1.106295149638803,2041,Great Britain,,2021-07-30 20:00:00,2021-07-31 01:10:00
HUEBERS Richard,Germany,Fencing,9.0,10.0,11.0,16.0,37.0,8.0,107,108,1.0093457943925233,215,Germany,,2021-07-30 20:00:00,2021-07-31 04:00:00
HUGHES David,United States of America,Sailing,1.0,39.0,41.0,33.0,113.0,1.0,175,175,1.0,350,,,2021-07-30 20:00:00,2021-07-31 04:00:00
HUGHES Gareth,Great Britain,Equestrian,4.0,22.0,21.0,22.0,65.0,4.0,73,125,1.7123287671232876,198,,,2021-07-30 21:00:00,2021-07-30 23:25:00
HUGHES Mackenzie,Canada,Golf,11.0,7.0,6.0,11.0,24.0,11.0,60,60,1.0,120,,,2021-07-30 21:40:00,2021-07-30 23:40:00
HUGHES Madison,United States of America,Rugby Sevens,1.0,39.0,41.0,33.0,113.0,1.0,146,151,1.0342465753424657,297,United States,FRIDAY Mike,2021-07-30 22:00:00,2021-07-31 00:50:00
HUGHES Matthew,Canada,Athletics,11.0,7.0,6.0,11.0,24.0,11.0,969,1072,1.106295149638803,2041,Canada,,2021-07-30 22:15:00,2021-07-31 01:45:00
HUGHES Zharnel,Great Britain,Athletics,4.0,22.0,21.0,22.0,65.0,4.0,969,1072,1.106295149638803,2041,Great Britain,,2021-07-30 22:20:00,2021-07-31 02:10:00
HUITEMA Jordyn,Canada,Football,11.0,7.0,6.0,11.0,24.0,11.0,264,344,1.303030303030303,608,Canada,PRIESTMAN Bev,2021-07-30 22:45:00,2021-07-31 01:20:00
HUKLEK Ivan,Croatia,Wrestling,26.0,3.0,3.0,2.0,8.0,29.0,96,193,2.0104166666666665,289,,,2021-07-30 23:00:00,2021-07-31 01:50:00
HULKKO Ida,Finland,Swimming,85.0,0.0,0.0,2.0,2.0,66.0,361,418,1.1578947368421053,779,,,2021-07-30 23:00:00,2021-07-31 00:30:00
HULL Jessica,Australia,Athletics,6.0,17.0,7.0,22.0,46.0,6.0,969,1072,1.106295149638803,2041,Australia,,2021-07-30 23:50:00,2021-07-31 02:00:00
HULL Megan,New Zealand,Hockey,13.0,7.0,6.0,7.0,20.0,13.0,192,192,1.0,384,New Zealand,TURNER Glenn,2021-07-31 00:30:00,2021-07-31 03:00:00
HUMBERT Ugo,France,Tennis,8.0,10.0,12.0,11.0,33.0,10.0,94,97,1.0319148936170213,191,,,2021-07-31 01:00:00,2021-07-31 03:55:00
HUMMATOVA Zeynab,Azerbaijan,Rhythmic Gymnastics,67.0,0.0,3.0,4.0,7.0,33.0,96,0,0.0,96,Azerbaijan,,2021-07-31 01:00:00,2021-07-31 04:00:00
HUMWA Herman,Kenya,Rugby Sevens,19.0,4.0,4.0,2.0,10.0,25.0,146,151,1.0342465753424657,297,Kenya,SIMIYU Innocent,2021-07-31 01:00:00,2021-07-31 03:40:00
HUNBIN Oleksii,Ukraine,Archery,44.0,1.0,6.0,12.0,19.0,16.0,64,64,1.0,128,Ukraine,,2021-07-31 01:20:00,2021-07-31 03:20:00
HUNDAHL Michael Valgren,Denmark,Cycling Road,25.0,3.0,4.0,4.0,11.0,23.0,70,131,1.8714285714285714,201,,,2021-07-31 02:00:00,2021-07-31 07:00:00
HUNG Wing Yan Winne,"Hong Kong, China",Rowing,49.0,1.0,2.0,3.0,6.0,39.0,257,265,1.0311284046692606,522,,,2021-07-31 02:00:00,2021-07-31 05:00:00
HUNG Yuan-Hsi,Chinese Taipei,Artistic Gymnastics,34.0,2.0,4.0,6.0,12.0,22.0,98,98,1.0,196,Chinese Taipei,,2021-07-31 02:20:00,2021-07-31 05:10:00
HUNT Natasha,Great Britain,Rugby Sevens,4.0,22.0,21.0,22.0,65.0,4.0,146,151,1.0342465753424657,297,Great Britain,ROQUES Anthony,2021-07-31 02:30:00,2021-07-31 04:40:00
HUNTER Charlie,Australia,Athletics,6.0,17.0,7.0,22.0,46.0,6.0,969,1072,1.106295149638803,2041,Australia,,2021-07-31 02:30:00,2021-07-31 06:15:00
HUNTER Erin,South Africa,Hockey,52.0,1.0,2.0,0.0,3.0,60.0,192,192,1.0,384,South Africa,ZONDI Nkuliso,2021-07-31 03:00:00,2021-07-31 05:55:00
HUNTINGTON Maria,Finland,Athletics,85.0,0.0,0.0,2.0,2.0,66.0,969,1072,1.106295149638803,2041,,,2021-07-31 03:00:00,2021-07-31 06:00:00
HUR Kyoungmin,Republic of Korea,Baseball/Softball,16.0,6.0,4.0,10.0,20.0,13.0,90,144,1.6,234,Republic of Korea,CHOI Il Eon,2021-07-31 03:00:00,2021-07-31 06:00:00
HURKACZ Hubert,Poland,Tennis,17.0,4.0,5.0,5.0,14.0,19.0,94,97,1.0319148936170213,191,,,2021-07-31 03:30:00,2021-07-31 07:00:00
HURKMANS Maarten,Netherlands,Rowing,7.0,10.0,12.0,14.0,36.0,9.0,257,265,1.0311284046692606,522,,,2021-07-31 03:40:00,2021-07-31 07:30:00
HURLBURT-YU Joshua,Canada,Badminton,11.0,7.0,6.0,11.0,24.0,11.0,86,87,1.0116279069767442,173,,,2021-07-31 03:50:00,2021-07-31 06:00:00
HURLEY Courtney,United States of America,Fencing,1.0,39.0,41.0,33.0,113.0,1.0,107,108,1.0093457943925233,215,United States,,2021-07-31 04:00:00,2021-07-31 06:50:00
HURLEY Kelley,United States of America,Fencing,1.0,39.0,41.0,33.0,113.0,1.0,107,108,1.0093457943925233,215,United States,,2021-07-31 04:00:00,2021-07-31 07:00:00
HURSKE Reetta,Finland,Athletics,85.0,0.0,0.0,2.0,2.0,66.0,969,1072,1.106295149638803,2041,,,2021-07-31 05:00:00,2021-07-31 07:00:00
HURTADO David,Ecuador,Athletics,38.0,2.0,1.0,0.0,3.0,60.0,969,1072,1.106295149638803,2041,Ecuador,,2021-07-31 15:30:00,2021-08-01 00:00:00
HUSE Viktoria,Germany,Hockey,9.0,10.0,11.0,16.0,37.0,8.0,192,192,1.0,384,Germany,RECKINGER Xavier,2021-07-31 15:45:00,2021-07-31 19:10:00
HUSEYNOV Karamat,Azerbaijan,Judo,67.0,0.0,3.0,4.0,7.0,33.0,192,201,1.046875,393,,,2021-07-31 16:30:00,2021-07-31 21:15:00
HUSEYNOV Rafig,Azerbaijan,Wrestling,67.0,0.0,3.0,4.0,7.0,33.0,96,193,2.0104166666666665,289,,,2021-07-31 17:00:00,2021-07-31 18:50:00
HUSHTYN Aliaksandr,Belarus,Wrestling,45.0,1.0,3.0,3.0,7.0,33.0,96,193,2.0104166666666665,289,,,2021-07-31 17:00:00,2021-08-01 00:00:00
HUSIC Nedzad,Bosnia and Herzegovina,Taekwondo,,,,,,,65,65,1.0,130,,,2021-07-31 17:00:00,2021-07-31 20:30:00
HUSILLOS Oscar,Spain,Athletics,22.0,3.0,8.0,6.0,17.0,17.0,969,1072,1.106295149638803,2041,Spain,,2021-07-31 17:00:00,2021-07-31 20:50:00
HUSKE Torri,United States of America,Swimming,1.0,39.0,41.0,33.0,113.0,1.0,361,418,1.1578947368421053,779,United States,,2021-07-31 17:10:00,2021-07-31 20:00:00
HUSSEIN Danah,Iraq,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-31 17:30:00,2021-07-31 21:45:00
HUSSEIN Kariem,Switzerland,Athletics,24.0,3.0,4.0,6.0,13.0,20.0,969,1072,1.106295149638803,2041,Switzerland,,2021-07-31 18:00:00,2021-07-31 20:00:00
HUSSEN Amr Reda Ramadan,Egypt,Wrestling,54.0,1.0,1.0,4.0,6.0,39.0,96,193,2.0104166666666665,289,,,2021-07-31 18:00:00,2021-07-31 21:00:00
HUSSL David,Austria,Sailing,53.0,1.0,1.0,5.0,7.0,33.0,175,175,1.0,350,,,2021-07-31 18:10:00,2021-07-31 20:45:00
HUSSONG Christin,Germany,Athletics,9.0,10.0,11.0,16.0,37.0,8.0,969,1072,1.106295149638803,2041,Germany,,2021-07-31 18:30:00,2021-07-31 20:25:00
HUSTON Nyjah,United States of America,Skateboarding,1.0,39.0,41.0,33.0,113.0,1.0,40,40,1.0,80,,,2021-07-31 19:00:00,2021-07-31 21:40:00
HUSTON Patrick,Great Britain,Archery,4.0,22.0,21.0,22.0,65.0,4.0,64,64,1.0,128,Great Britain,,2021-07-31 19:00:00,2021-07-31 21:00:00
HUTCHISON Henry,Australia,Rugby Sevens,6.0,17.0,7.0,22.0,46.0,6.0,146,151,1.0342465753424657,297,Australia,WALSH Tim,2021-07-31 20:00:00,2021-07-31 23:00:00
HVAS Tomoe,Norway,Swimming,20.0,4.0,2.0,2.0,8.0,29.0,361,418,1.1578947368421053,779,,,2021-07-31 20:00:00,2021-08-01 02:00:00
HWANG Jaegyun,Republic of Korea,Baseball/Softball,16.0,6.0,4.0,10.0,20.0,13.0,90,144,1.6,234,Republic of Korea,CHOI Il Eon,2021-07-31 20:00:00,2021-08-01 04:00:00
