Athletes_Name,NOC,Game_Discipline,Rank,Gold,Silver,Bronze,Total_Medal,Rank by Total,Female,Male,Ratio,Total_Participants,Country_Name,Couch_Name,START (PDT),END (PDT)
AALERUD Katrine,Norway,Cycling Road,20.0,4.0,2.0,2.0,8.0,29.0,70,131,1.8714285714285714,201,,,2021-07-20 17:00:00,2021-07-21 01:00:00
ABAD Nestor,Spain,Artistic Gymnastics,22.0,3.0,8.0,6.0,17.0,17.0,98,98,1.0,196,Spain,,2021-07-21 00:30:00,2021-07-21 05:30:00
ABAGNALE Giovanni,Italy,Rowing,10.0,10.0,10.0,20.0,40.0,7.0,257,265,1.0311284046692606,522,,,2021-07-21 01:00:00,2021-07-21 06:00:00
ABALDE Alberto,Spain,Basketball,22.0,3.0,8.0,6.0,17.0,17.0,144,144,1.0,288,Spain,ZAMORA PEDREIRA Javier,2021-07-21 01:30:00,2021-07-21 06:30:00
ABALDE Tamara,Spain,Basketball,22.0,3.0,8.0,6.0,17.0,17.0,144,144,1.0,288,Spain,ZAMORA PEDREIRA Javier,2021-07-21 17:00:00,2021-07-22 01:00:00
ABALO Luc,France,Handball,8.0,10.0,12.0,11.0,33.0,10.0,168,168,1.0,336,France,KRUMBHOLZ Olivier,2021-07-22 00:30:00,2021-07-22 05:30:00
ABAROA Cesar,Chile,Rowing,,,,,,,257,265,1.0311284046692606,522,,,2021-07-22 01:00:00,2021-07-22 06:00:00
ABASS Abobakr,Sudan,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-22 01:00:00,2021-07-22 06:00:00
ABBASALI Hamideh,Islamic Republic of Iran,Karate,27.0,3.0,2.0,2.0,7.0,33.0,40,42,1.05,82,,,2021-07-22 01:30:00,2021-07-22 06:30:00
ABBASOV Islam,Azerbaijan,Wrestling,67.0,0.0,3.0,4.0,7.0,33.0,96,193,2.0104166666666665,289,,,2021-07-22 16:30:00,2021-07-22 20:10:00
ABBINGH Lois,Netherlands,Handball,7.0,10.0,12.0,14.0,36.0,9.0,168,168,1.0,336,Netherlands,MAYONNADE Emmanuel,2021-07-22 17:00:00,2021-07-22 19:00:00
ABBOT Emily,Australia,Rhythmic Gymnastics,6.0,17.0,7.0,22.0,46.0,6.0,96,0,0.0,96,Australia,,2021-07-22 21:00:00,2021-07-22 23:00:00
ABBOTT Monica,United States of America,Baseball/Softball,1.0,39.0,41.0,33.0,113.0,1.0,90,144,1.6,234,United States,WEINSTEIN Jerry,2021-07-23 04:00:00,2021-07-23 07:00:00
ABDALLA Abubaker Haydar,Qatar,Athletics,41.0,2.0,0.0,1.0,3.0,60.0,969,1072,1.106295149638803,2041,,,2021-07-23 16:30:00,2021-07-23 20:30:00
ABDALLA Maryam,Egypt,Artistic Swimming,54.0,1.0,1.0,4.0,6.0,39.0,105,0,0.0,105,Egypt,MOHAMED Mai,2021-07-23 16:30:00,2021-07-24 00:30:00
ABDALLAH Shahd,Egypt,Artistic Swimming,54.0,1.0,1.0,4.0,6.0,39.0,105,0,0.0,105,Egypt,MOHAMED Mai,2021-07-23 17:00:00,2021-07-23 22:30:00
ABDALRASOOL Mohamed,Sudan,Judo,,,,,,,192,201,1.046875,393,,,2021-07-23 17:00:00,2021-07-23 20:50:00
ABDEL LATIF Radwa,Egypt,Shooting,54.0,1.0,1.0,4.0,6.0,39.0,178,178,1.0,356,,,2021-07-23 17:00:00,2021-07-24 00:20:00
ABDEL RAZEK Samy,Egypt,Shooting,54.0,1.0,1.0,4.0,6.0,39.0,178,178,1.0,356,,,2021-07-23 17:00:00,2021-07-23 20:30:00
ABDELAZIZ Abdalla,Egypt,Karate,54.0,1.0,1.0,4.0,6.0,39.0,40,42,1.05,82,,,2021-07-23 17:00:00,2021-07-23 20:45:00
ABDELAZIZ Farah,Egypt,Table Tennis,54.0,1.0,1.0,4.0,6.0,39.0,86,86,1.0,172,Egypt,,2021-07-23 17:00:00,2021-07-23 20:50:00
ABDELAZIZ Farah,Egypt,Table Tennis,54.0,1.0,1.0,4.0,6.0,39.0,86,86,1.0,172,ASSAR Omar / MESHREF Dina,,2021-07-23 17:30:00,2021-07-23 20:05:00
ABDELAZIZ Feryal,Egypt,Karate,54.0,1.0,1.0,4.0,6.0,39.0,40,42,1.05,82,,,2021-07-23 17:30:00,2021-07-23 21:15:00
ABDELMAWGOUD Mohamed,Egypt,Judo,54.0,1.0,1.0,4.0,6.0,39.0,192,201,1.046875,393,,,2021-07-23 17:50:00,2021-07-23 20:00:00
ABDELMOTTALEB Diaaeldin Kamal Gouda,Egypt,Wrestling,54.0,1.0,1.0,4.0,6.0,39.0,96,193,2.0104166666666665,289,,,2021-07-23 18:00:00,2021-07-23 20:30:00
ABDELRAHMAN Ihab,Egypt,Athletics,54.0,1.0,1.0,4.0,6.0,39.0,969,1072,1.106295149638803,2041,,,2021-07-23 18:00:00,2021-07-24 00:30:00
ABDELSALAM Mohamed,Egypt,Football,54.0,1.0,1.0,4.0,6.0,39.0,264,344,1.303030303030303,608,Egypt,SIAM Zaghloul,2021-07-23 18:00:00,2021-07-23 21:45:00
ABDELSALAM Nour,Egypt,Taekwondo,54.0,1.0,1.0,4.0,6.0,39.0,65,65,1.0,130,,,2021-07-23 18:00:00,2021-07-24 01:00:00
ABDELWAHED Ahmed,Italy,Athletics,10.0,10.0,10.0,20.0,40.0,7.0,969,1072,1.106295149638803,2041,Italy,,2021-07-23 18:15:00,2021-07-23 20:25:00
ABDI Bashir,Belgium,Athletics,29.0,3.0,1.0,3.0,7.0,33.0,969,1072,1.106295149638803,2041,Belgium,,2021-07-23 19:00:00,2021-07-23 22:30:00
ABDIRAHMAN Abdi,United States of America,Athletics,1.0,39.0,41.0,33.0,113.0,1.0,969,1072,1.106295149638803,2041,United States,,2021-07-23 19:00:00,2021-07-24 02:15:00
ABDUL HADI Farah Ann,Malaysia,Artistic Gymnastics,74.0,0.0,1.0,1.0,2.0,66.0,98,98,1.0,196,,,2021-07-23 19:00:00,2021-07-23 22:30:00
ABDUL RAHMAN Kiria Tikanah,Singapore,Fencing,,,,,,,107,108,1.0093457943925233,215,,,2021-07-23 19:00:00,2021-07-24 04:00:00
ABDUL RAZZAQ Fathimath Nabaaha,Maldives,Badminton,,,,,,,86,87,1.0116279069767442,173,,,2021-07-23 19:00:00,2021-07-24 04:00:00
ABDULHAMID Saud,Saudi Arabia,Football,77.0,0.0,1.0,0.0,1.0,77.0,264,344,1.303030303030303,608,Saudi Arabia,MOHAMED Sayeda,2021-07-23 19:00:00,2021-07-24 04:00:00
ABDULJABBAR Ammar Riad,Germany,Boxing,9.0,10.0,11.0,16.0,37.0,8.0,102,187,1.8333333333333333,289,,,2021-07-23 19:00:00,2021-07-24 04:00:00
ABDULLAEV Gulomjon,Uzbekistan,Wrestling,32.0,3.0,0.0,2.0,5.0,42.0,96,193,2.0104166666666665,289,,,2021-07-23 21:50:00,2021-07-24 00:00:00
ABDULLAEV Muminjon,Uzbekistan,Wrestling,32.0,3.0,0.0,2.0,5.0,42.0,96,193,2.0104166666666665,289,,,2021-07-23 22:00:00,2021-07-23 23:50:00
ABDULLAH Rahmat Erwin,Indonesia,Weightlifting,55.0,1.0,1.0,3.0,5.0,42.0,98,99,1.010204081632653,197,,,2021-07-23 22:00:00,2021-07-24 00:50:00
ABDULLIN Ilfat,Kazakhstan,Archery,83.0,0.0,0.0,8.0,8.0,29.0,64,64,1.0,128,Kazakhstan,,2021-07-23 22:15:00,2021-07-24 01:25:00
ABDULREDHA Mohamed,Bahrain,Handball,77.0,0.0,1.0,0.0,1.0,77.0,168,168,1.0,336,Bahrain,KRIST JANSSON Aron,2021-07-23 22:15:00,2021-07-24 01:45:00
ABDURAIMOV Elnur,Uzbekistan,Boxing,32.0,3.0,0.0,2.0,5.0,42.0,102,187,1.8333333333333333,289,,,2021-07-23 22:15:00,2021-07-24 01:15:00
ABDURAKHIMOV Rasuljon,Uzbekistan,Artistic Gymnastics,32.0,3.0,0.0,2.0,5.0,42.0,98,98,1.0,196,,,2021-07-23 22:20:00,2021-07-24 02:10:00
ABDURAKHMONOV Bekzod,Uzbekistan,Wrestling,32.0,3.0,0.0,2.0,5.0,42.0,96,193,2.0104166666666665,289,,,2021-07-23 22:30:00,2021-07-24 01:00:00
ABE Hifumi,Japan,Judo,3.0,27.0,14.0,17.0,58.0,5.0,192,201,1.046875,393,,,2021-07-23 23:00:00,2021-07-24 01:50:00
ABE Takatoshi,Japan,Athletics,3.0,27.0,14.0,17.0,58.0,5.0,969,1072,1.106295149638803,2041,Japan,,2021-07-24 00:30:00,2021-07-24 05:30:00
ABE Uta,Japan,Judo,3.0,27.0,14.0,17.0,58.0,5.0,192,201,1.046875,393,,,2021-07-24 01:00:00,2021-07-24 04:30:00
ABEBE Mekides,Ethiopia,Athletics,56.0,1.0,1.0,2.0,4.0,47.0,969,1072,1.106295149638803,2041,,,2021-07-24 01:00:00,2021-07-24 06:15:00
ABEDINI Mojtaba,Islamic Republic of Iran,Fencing,27.0,3.0,2.0,2.0,7.0,33.0,107,108,1.0093457943925233,215,Islamic Rep. of Iran,,2021-07-24 01:00:00,2021-07-24 06:00:00
ABEL Jennifer,Canada,Diving,11.0,7.0,6.0,11.0,24.0,11.0,72,71,0.9861111111111112,143,,,2021-07-24 01:00:00,2021-07-24 03:40:00
ABELA Matthew,Malta,Badminton,,,,,,,86,87,1.0116279069767442,173,,,2021-07-24 01:30:00,2021-07-24 03:30:00
ABELVIK ROED Magnus,Norway,Handball,20.0,4.0,2.0,2.0,8.0,29.0,168,168,1.0,336,Norway,HERGEIRSSON Thorir,2021-07-24 01:30:00,2021-07-24 06:30:00
ABEYSINGHE Matthew,Sri Lanka,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-24 02:00:00,2021-07-24 06:00:00
ABIAN Pablo,Spain,Badminton,22.0,3.0,8.0,6.0,17.0,17.0,86,87,1.0116279069767442,173,,,2021-07-24 02:00:00,2021-07-24 06:25:00
ABICHA Mohammed,Morocco,Beach Volleyball,63.0,1.0,0.0,0.0,1.0,77.0,48,48,1.0,96,Abicha/Elgraoui,,2021-07-24 02:20:00,2021-07-24 05:10:00
ABICHT Lorena,Austria,Sailing,53.0,1.0,1.0,5.0,7.0,33.0,175,175,1.0,350,,,2021-07-24 02:30:00,2021-07-24 06:15:00
ABIDINE Abidine,Mauritania,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-24 03:00:00,2021-07-24 06:45:00
ABLIAZIN Denis,ROC,Artistic Gymnastics,5.0,20.0,28.0,23.0,71.0,3.0,98,98,1.0,196,ROC,,2021-07-24 03:00:00,2021-07-24 05:30:00
ABOUD Hadel,Libya,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-24 03:00:00,2021-07-24 06:40:00
ABOUELKASSEM Alaaeldin,Egypt,Fencing,54.0,1.0,1.0,4.0,6.0,39.0,107,108,1.0093457943925233,215,Egypt,,2021-07-24 03:30:00,2021-07-24 06:00:00
ABOUKE Nancy Genzel,Nauru,Weightlifting,,,,,,,98,99,1.010204081632653,197,,,2021-07-24 03:30:00,2021-07-24 07:00:00
ABRAHAM Tadesse,Switzerland,Athletics,24.0,3.0,4.0,6.0,13.0,20.0,969,1072,1.106295149638803,2041,Switzerland,,2021-07-24 03:30:00,2021-07-24 06:30:00
ABRAHAMS Rusten John,South Africa,Hockey,52.0,1.0,2.0,0.0,3.0,60.0,192,192,1.0,384,South Africa,ZONDI Nkuliso,2021-07-24 03:40:00,2021-07-24 07:30:00
ABRAMS Aliyah,Guyana,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-24 04:00:00,2021-07-24 06:00:00
ABRAMS Jasmine,Guyana,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-24 04:00:00,2021-07-24 06:50:00
ABRAMYAN Benik,Georgia,Athletics,33.0,2.0,5.0,1.0,8.0,29.0,969,1072,1.106295149638803,2041,,,2021-07-24 05:00:00,2021-07-24 06:50:00
ABREU Diogo,Portugal,Trampoline Gymnastics,56.0,1.0,1.0,2.0,4.0,47.0,16,16,1.0,32,,,2021-07-24 15:00:00,2021-07-25 00:20:00
ABRINES REDONDO Alejandro,Spain,Basketball,22.0,3.0,8.0,6.0,17.0,17.0,144,144,1.0,288,Spain,ZAMORA PEDREIRA Javier,2021-07-24 17:00:00,2021-07-24 20:50:00
ABROSIMOV Kirill,ROC,Marathon Swimming,5.0,20.0,28.0,23.0,71.0,3.0,25,25,1.0,50,,,2021-07-24 17:00:00,2021-07-25 00:20:00
ABU RABEE Asma,Jordan,Shooting,74.0,0.0,1.0,1.0,2.0,66.0,178,178,1.0,356,,,2021-07-24 17:00:00,2021-07-24 20:30:00
ABU RMILAH Wesam,Palestine,Judo,,,,,,,192,201,1.046875,393,,,2021-07-24 17:00:00,2021-07-24 19:40:00
ABUAKU Joshua,Germany,Athletics,9.0,10.0,11.0,16.0,37.0,8.0,969,1072,1.106295149638803,2041,Germany,,2021-07-24 17:00:00,2021-07-25 00:00:00
ABUJBARA Tala,Qatar,Rowing,41.0,2.0,0.0,1.0,3.0,60.0,257,265,1.0311284046692606,522,,,2021-07-24 17:00:00,2021-07-25 00:30:00
ACERENZA Domenico,Italy,Swimming,10.0,10.0,10.0,20.0,40.0,7.0,361,418,1.1578947368421053,779,Italy,,2021-07-24 17:00:00,2021-07-24 21:55:00
ACETI Vladimir,Italy,Athletics,10.0,10.0,10.0,20.0,40.0,7.0,969,1072,1.106295149638803,2041,Italy,,2021-07-24 17:00:00,2021-07-24 20:50:00
ACHAB Jaouad,Belgium,Taekwondo,29.0,3.0,1.0,3.0,7.0,33.0,65,65,1.0,130,,,2021-07-24 17:30:00,2021-07-24 19:05:00
ACHANTA Kamal,India,Table Tennis,48.0,1.0,2.0,4.0,7.0,33.0,86,86,1.0,172,ACHANTA Kamal / BATRA Manika,,2021-07-24 17:30:00,2021-07-24 21:15:00
ACHILLEOS Georgios,Cyprus,Shooting,,,,,,,178,178,1.0,356,,,2021-07-24 18:00:00,2021-07-24 21:35:00
ACHIUWA Precious,Nigeria,Basketball,74.0,0.0,1.0,1.0,2.0,66.0,144,144,1.0,288,Nigeria,SCHILLING April,2021-07-24 18:00:00,2021-07-24 23:30:00
ACHONWA Natalie,Canada,Basketball,11.0,7.0,6.0,11.0,24.0,11.0,144,144,1.0,288,Canada,THOMAIDIS Lisa,2021-07-24 18:00:00,2021-07-25 00:30:00
ACHOURI Haikel,Tunisia,Wrestling,58.0,1.0,1.0,0.0,2.0,66.0,96,193,2.0104166666666665,289,,,2021-07-24 18:00:00,2021-07-24 20:00:00
ACKERMANN Simone,South Africa,Triathlon,52.0,1.0,2.0,0.0,3.0,60.0,55,55,1.0,110,South Africa,,2021-07-24 18:00:00,2021-07-24 21:45:00
ACOSTA Briseida,Mexico,Taekwondo,84.0,0.0,0.0,4.0,4.0,47.0,65,65,1.0,130,,,2021-07-24 18:00:00,2021-07-24 20:00:00
ACOSTA FERNANDEZ Yasmani,Chile,Wrestling,,,,,,,96,193,2.0104166666666665,289,,,2021-07-24 18:00:00,2021-07-25 01:00:00
ACOSTA GIRALDO Valentina,Colombia,Archery,66.0,0.0,4.0,1.0,5.0,42.0,64,64,1.0,128,Colombia,,2021-07-24 18:00:00,2021-07-24 20:50:00
ACOSTA Marcelo,El Salvador,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-24 18:15:00,2021-07-24 20:25:00
ACUNA Yenny,Chile,Football,,,,,,,264,344,1.303030303030303,608,Chile,WIRTH Oscar,2021-07-24 18:30:00,2021-07-24 20:20:00
ADACHI Kazuya,Japan,Canoe Slalom,3.0,27.0,14.0,17.0,58.0,5.0,41,41,1.0,82,,,2021-07-24 19:00:00,2021-07-24 22:45:00
ADACHI Seiya,Japan,Water Polo,3.0,27.0,14.0,17.0,58.0,5.0,122,146,1.1967213114754098,268,Japan,OMOTO Yoji,2021-07-24 19:00:00,2021-07-24 22:30:00
ADAM Amal,Egypt,Archery,54.0,1.0,1.0,4.0,6.0,39.0,64,64,1.0,128,Egypt,,2021-07-24 19:00:00,2021-07-25 04:00:00
ADAM Constantin,Romania,Rowing,46.0,1.0,3.0,0.0,4.0,47.0,257,265,1.0311284046692606,522,,,2021-07-24 19:00:00,2021-07-25 04:00:00
ADAMEK Klaudia,Poland,Athletics,17.0,4.0,5.0,5.0,14.0,19.0,969,1072,1.106295149638803,2041,Poland,,2021-07-24 19:00:00,2021-07-25 04:00:00
ADAMKIEWICZ Patrycja,Poland,Taekwondo,17.0,4.0,5.0,5.0,14.0,19.0,65,65,1.0,130,,,2021-07-24 19:00:00,2021-07-25 04:00:00
ADAMS Liam,Australia,Athletics,6.0,17.0,7.0,22.0,46.0,6.0,969,1072,1.106295149638803,2041,Australia,,2021-07-24 19:50:00,2021-07-24 22:00:00
ADAMS Paul,Australia,Shooting,6.0,17.0,7.0,22.0,46.0,6.0,178,178,1.0,356,,,2021-07-24 20:00:00,2021-07-25 02:00:00
ADAMS Taeyanna,Federated States of Micronesia,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-24 21:00:00,2021-07-25 00:45:00
ADAMUS Bartlomiej Stejan,Poland,Weightlifting,17.0,4.0,5.0,5.0,14.0,19.0,98,99,1.010204081632653,197,,,2021-07-24 21:00:00,2021-07-25 01:35:00
ADAO de SA Mateus Daniel,Brazil,Athletics,12.0,7.0,6.0,8.0,21.0,12.0,969,1072,1.106295149638803,2041,Brazil,,2021-07-24 21:40:00,2021-07-24 23:40:00
ADAR Yasemin,Turkey,Wrestling,35.0,2.0,2.0,9.0,13.0,20.0,96,193,2.0104166666666665,289,,,2021-07-24 21:45:00,2021-07-25 01:25:00
ADEBAYO Edrice Femi,United States of America,Basketball,1.0,39.0,41.0,33.0,113.0,1.0,144,144,1.0,288,United States,WRIGHT Jerold,2021-07-24 22:00:00,2021-07-24 23:50:00
ADEGOKE Enoch,Nigeria,Athletics,74.0,0.0,1.0,1.0,2.0,66.0,969,1072,1.106295149638803,2041,Nigeria,,2021-07-24 22:00:00,2021-07-25 01:45:00
ADEKUOROYE Odunayo Folasade,Nigeria,Wrestling,74.0,0.0,1.0,1.0,2.0,66.0,96,193,2.0104166666666665,289,,,2021-07-24 22:00:00,2021-07-25 00:50:00
ADEL Ibrahim,Egypt,Football,54.0,1.0,1.0,4.0,6.0,39.0,264,344,1.303030303030303,608,Egypt,SIAM Zaghloul,2021-07-24 22:15:00,2021-07-25 01:45:00
ADENIYI Aminat Oluwafunmilayo,Nigeria,Wrestling,74.0,0.0,1.0,1.0,2.0,66.0,96,193,2.0104166666666665,289,,,2021-07-24 22:20:00,2021-07-25 02:10:00
ADESOKAN Dorcas Ajoke,Nigeria,Badminton,74.0,0.0,1.0,1.0,2.0,66.0,86,87,1.0116279069767442,173,,,2021-07-24 23:00:00,2021-07-25 01:50:00
ADILKHANOVA Alina,Kazakhstan,Rhythmic Gymnastics,83.0,0.0,0.0,8.0,8.0,29.0,96,0,0.0,96,,,2021-07-24 23:00:00,2021-07-25 00:00:00
ADLERTEG Jonna,Sweden,Artistic Gymnastics,23.0,3.0,6.0,0.0,9.0,26.0,98,98,1.0,196,,,2021-07-24 23:10:00,2021-07-25 02:45:00
ADLINGTON Sarah,Great Britain,Judo,4.0,22.0,21.0,22.0,65.0,4.0,192,201,1.046875,393,,,2021-07-24 23:50:00,2021-07-25 02:00:00
ADO Pauline,France,Surfing,8.0,10.0,12.0,11.0,33.0,10.0,20,20,1.0,40,,,2021-07-25 00:30:00,2021-07-25 05:30:00
ADOLF Balazs,Hungary,Canoe Sprint,15.0,6.0,7.0,7.0,20.0,13.0,123,126,1.024390243902439,249,,,2021-07-25 01:00:00,2021-07-25 04:45:00
ADOMAVICIUS Aurimas,Lithuania,Rowing,77.0,0.0,1.0,0.0,1.0,77.0,257,265,1.0311284046692606,522,,,2021-07-25 01:00:00,2021-07-25 06:15:00
AEDO Yanara,Chile,Football,,,,,,,264,344,1.303030303030303,608,Chile,WIRTH Oscar,2021-07-25 01:00:00,2021-07-25 06:00:00
AERNOUDTS Violaine,France,Rowing,8.0,10.0,12.0,11.0,33.0,10.0,257,265,1.0311284046692606,522,,,2021-07-25 01:00:00,2021-07-25 06:00:00
AFANADOR Brian,Puerto Rico,Table Tennis,63.0,1.0,0.0,0.0,1.0,77.0,86,86,1.0,172,,,2021-07-25 01:00:00,2021-07-25 03:40:00
AFONSO Paixao,Angola,Sailing,,,,,,,175,175,1.0,350,,,2021-07-25 01:20:00,2021-07-25 03:20:00
AFOUMBA Gilles Anthony,Congo,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-25 01:30:00,2021-07-25 03:30:00
AFREMOVA Natalia,ROC,Cycling BMX Racing,5.0,20.0,28.0,23.0,71.0,3.0,24,24,1.0,48,,,2021-07-25 01:30:00,2021-07-25 06:30:00
AFRIAT Charlotte,Monaco,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-25 02:00:00,2021-07-25 05:30:00
AGADA Caleb,Nigeria,Basketball,74.0,0.0,1.0,1.0,2.0,66.0,144,144,1.0,288,Nigeria,SCHILLING April,2021-07-25 02:00:00,2021-07-25 06:25:00
AGAHOZO Alphonsine,Rwanda,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-25 02:20:00,2021-07-25 05:10:00
AGARD Terrence,Netherlands,Athletics,7.0,10.0,12.0,14.0,36.0,9.0,969,1072,1.106295149638803,2041,Netherlands,,2021-07-25 02:30:00,2021-07-25 06:15:00
AGARIE Yuto,Japan,Handball,3.0,27.0,14.0,17.0,58.0,5.0,168,168,1.0,336,Japan,SIGURDSSON Dagur,2021-07-25 03:00:00,2021-07-25 06:45:00
AGATSUMA Haruka,Japan,Baseball/Softball,3.0,27.0,14.0,17.0,58.0,5.0,90,144,1.6,234,Japan,YAMAJI Noriko,2021-07-25 03:00:00,2021-07-25 05:30:00
AGBEGNENOU Clarisse,France,Judo,8.0,10.0,12.0,11.0,33.0,10.0,192,201,1.046875,393,,,2021-07-25 03:00:00,2021-07-25 06:40:00
AGERO Eden,Kenya,Rugby Sevens,19.0,4.0,4.0,2.0,10.0,25.0,146,151,1.0342465753424657,297,Kenya,SIMIYU Innocent,2021-07-25 03:30:00,2021-07-25 07:00:00
AGGEFORS Mikael,Sweden,Handball,23.0,3.0,6.0,0.0,9.0,26.0,168,168,1.0,336,Sweden,SOLBERG Glenn,2021-07-25 03:40:00,2021-07-25 07:30:00
AGHAEIHAJIAGHA Soraya,Islamic Republic of Iran,Badminton,27.0,3.0,2.0,2.0,7.0,33.0,86,87,1.0116279069767442,173,,,2021-07-25 03:50:00,2021-07-25 06:00:00
AGHAMIROVA Zohra,Azerbaijan,Rhythmic Gymnastics,67.0,0.0,3.0,4.0,7.0,33.0,96,0,0.0,96,Azerbaijan,,2021-07-25 04:00:00,2021-07-25 06:00:00
AGHAMIRZAEIJENAGHRAD Ali,Islamic Republic of Iran,Canoe Sprint,27.0,3.0,2.0,2.0,7.0,33.0,123,126,1.024390243902439,249,,,2021-07-25 04:00:00,2021-07-25 06:50:00
AGHASYAN Levon,Armenia,Athletics,69.0,0.0,2.0,2.0,4.0,47.0,969,1072,1.106295149638803,2041,,,2021-07-25 04:00:00,2021-07-25 06:00:00
AGHAYEV Rafael,Azerbaijan,Karate,67.0,0.0,3.0,4.0,7.0,33.0,40,42,1.05,82,,,2021-07-25 04:20:00,2021-07-25 06:00:00
AGIOMOR Ekerekeme,Nigeria,Wrestling,74.0,0.0,1.0,1.0,2.0,66.0,96,193,2.0104166666666665,289,,,2021-07-25 05:00:00,2021-07-25 06:50:00
AGIURGIUCULESE Alexandra,Italy,Rhythmic Gymnastics,10.0,10.0,10.0,20.0,40.0,7.0,96,0,0.0,96,Italy,,2021-07-25 05:00:00,2021-07-25 07:00:00
AGRALI Yavuz,Turkey,Athletics,35.0,2.0,2.0,9.0,13.0,20.0,969,1072,1.106295149638803,2041,Turkey,,2021-07-25 14:30:00,2021-07-25 17:00:00
AGRUSTI Andrea,Italy,Athletics,10.0,10.0,10.0,20.0,40.0,7.0,969,1072,1.106295149638803,2041,Italy,,2021-07-25 15:00:00,2021-07-26 00:40:00
AGUIAR Mayra,Brazil,Judo,12.0,7.0,6.0,8.0,21.0,12.0,192,201,1.046875,393,,,2021-07-25 17:00:00,2021-07-25 20:50:00
AGUILAR Ali,United States of America,Baseball/Softball,1.0,39.0,41.0,33.0,113.0,1.0,90,144,1.6,234,United States,WEINSTEIN Jerry,2021-07-25 17:00:00,2021-07-26 00:20:00
AGUILAR Andres,Chile,Archery,,,,,,,64,64,1.0,128,,,2021-07-25 17:00:00,2021-07-25 20:30:00
AGUILAR Evelis Jazmin,Colombia,Athletics,66.0,0.0,4.0,1.0,5.0,42.0,969,1072,1.106295149638803,2041,Colombia,,2021-07-25 17:00:00,2021-07-25 19:20:00
AGUINAGALDE AQUIZU Julen,Spain,Handball,22.0,3.0,8.0,6.0,17.0,17.0,168,168,1.0,336,Spain,VIVER ARZA Carlos Enrique,2021-07-25 17:00:00,2021-07-25 20:00:00
AGUIRRE Eduardo,Mexico,Football,84.0,0.0,0.0,4.0,4.0,47.0,264,344,1.303030303030303,608,Mexico,LOZANO Jaime,2021-07-25 17:00:00,2021-07-26 01:15:00
AGUIRRE Erick,Mexico,Football,84.0,0.0,0.0,4.0,4.0,47.0,264,344,1.303030303030303,608,Mexico,LOZANO Jaime,2021-07-25 17:00:00,2021-07-25 21:55:00
AGUIRRE Unai,Spain,Water Polo,22.0,3.0,8.0,6.0,17.0,17.0,122,146,1.1967213114754098,268,Spain,OCA GAIA Miguel Angel,2021-07-25 17:00:00,2021-07-25 20:50:00
AGUNDEZ GARCIA Gabriela,Mexico,Diving,84.0,0.0,0.0,4.0,4.0,47.0,72,71,0.9861111111111112,143,,,2021-07-25 17:30:00,2021-07-25 19:05:00
AH TONG Marion Faustino,Samoa,Boxing,,,,,,,102,187,1.8333333333333333,289,,,2021-07-25 17:30:00,2021-07-25 21:15:00
AHMAD Muhammad Isa,Brunei Darussalam,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-25 18:00:00,2021-07-25 23:30:00
AHMED Aiman,Saudi Arabia,Football,77.0,0.0,1.0,0.0,1.0,77.0,264,344,1.303030303030303,608,Saudi Arabia,MOHAMED Sayeda,2021-07-25 18:00:00,2021-07-26 00:30:00
AHMED ALI YUSUF Abdulla Essa,Bahrain,Swimming,77.0,0.0,1.0,0.0,1.0,77.0,361,418,1.1578947368421053,779,,,2021-07-25 18:00:00,2021-07-25 20:00:00
AHMED Enas,Egypt,Wrestling,54.0,1.0,1.0,4.0,6.0,39.0,96,193,2.0104166666666665,289,,,2021-07-25 18:00:00,2021-07-25 21:45:00
AHMED Junayna,Bangladesh,Swimming,,,,,,,361,418,1.1578947368421053,779,,,2021-07-25 18:00:00,2021-07-25 21:00:00
AHMED Mohamed,Bahrain,Handball,77.0,0.0,1.0,0.0,1.0,77.0,168,168,1.0,336,Bahrain,KRIST JANSSON Aron,2021-07-25 18:00:00,2021-07-26 01:00:00
AHMED Mohammed,Canada,Athletics,11.0,7.0,6.0,11.0,24.0,11.0,969,1072,1.106295149638803,2041,Canada,,2021-07-25 18:15:00,2021-07-25 20:25:00
AHMED Samaa,Egypt,Canoe Sprint,54.0,1.0,1.0,4.0,6.0,39.0,123,126,1.024390243902439,249,,,2021-07-25 18:30:00,2021-07-25 20:40:00
AHOUANWANOU Odile,Benin,Athletics,,,,,,,969,1072,1.106295149638803,2041,,,2021-07-25 19:00:00,2021-07-25 22:45:00
AHOURE Murielle,Côte d'Ivoire,Athletics,86.0,0.0,0.0,1.0,1.0,77.0,969,1072,1.106295149638803,2041,,,2021-07-25 19:00:00,2021-07-25 22:30:00
